folio_cot,nombre_cot,fecha_cot,fecha_registro_cot,id_cliente,nombre_cliente,razon_social_cliente,direccion_cliente,nombre_contacto,telefono_contacto,alcance_cot,nombre_item,descripcion_item,imagen_item,unidad_item,cantidad_item,precio_unitario_item,importe_item,subtotal,iva,total,terminos
COT-COPHI-129,,19/01/2026,19/01/2026,CLI-GENERICO,KFC MARGARITAS,,"Av. San Baltazar 3230-Local C2, Centro Comercial Bodega Aurrera, Col. Unidad Guadalupe, 72560 Heroica Puebla de Zaragoza, Pue.",C.P. Leticia Medina,,"Se realizará la clausura de una bajada del registro principal, la construcción de dos registros de concreto, la instalación de tubería sanitaria en PVC de 4"" y la habilitación de una línea externa",construccion de registro interno de .60X.40 con tapa de concreto y piso cerámico,,,Servicio,1,8500,8500,27400,4384,31784,"Pago: 80% de anticipo para iniciar, 20% restante al entregar los trabajos.
Horario: Trabajos nocturnos entre 10:00 p.m. y 6:00 a.m.
Duración: 4 días de ejecución.
Incluye: Todos los materiales y mano de obra necesarios."
COT-COPHI-129,,19/01/2026,19/01/2026,CLI-GENERICO,KFC MARGARITAS,,"Av. San Baltazar 3230-Local C2, Centro Comercial Bodega Aurrera, Col. Unidad Guadalupe, 72560 Heroica Puebla de Zaragoza, Pue.",C.P. Leticia Medina,,"Se realizará la clausura de una bajada del registro principal, la construcción de dos registros de concreto, la instalación de tubería sanitaria en PVC de 4"" y la habilitación de una línea externa","Linea sanitaria en PVC 4 "" ",,,Servicio,2,2200,4400,27400,4384,31784,"Pago: 80% de anticipo para iniciar, 20% restante al entregar los trabajos.
Horario: Trabajos nocturnos entre 10:00 p.m. y 6:00 a.m.
Duración: 4 días de ejecución.
Incluye: Todos los materiales y mano de obra necesarios."
COT-COPHI-129,,19/01/2026,19/01/2026,CLI-GENERICO,KFC MARGARITAS,,"Av. San Baltazar 3230-Local C2, Centro Comercial Bodega Aurrera, Col. Unidad Guadalupe, 72560 Heroica Puebla de Zaragoza, Pue.",C.P. Leticia Medina,,"Se realizará la clausura de una bajada del registro principal, la construcción de dos registros de concreto, la instalación de tubería sanitaria en PVC de 4"" y la habilitación de una línea externa",construccion de registro interno de .60X.40 con tapa de concreto.,,,,1,8500,8500,27400,4384,31784,"Pago: 80% de anticipo para iniciar, 20% restante al entregar los trabajos.
Horario: Trabajos nocturnos entre 10:00 p.m. y 6:00 a.m.
Duración: 4 días de ejecución.
Incluye: Todos los materiales y mano de obra necesarios."
COT-COPHI-129,,19/01/2026,19/01/2026,CLI-GENERICO,KFC MARGARITAS,,"Av. San Baltazar 3230-Local C2, Centro Comercial Bodega Aurrera, Col. Unidad Guadalupe, 72560 Heroica Puebla de Zaragoza, Pue.",C.P. Leticia Medina,,"Se realizará la clausura de una bajada del registro principal, la construcción de dos registros de concreto, la instalación de tubería sanitaria en PVC de 4"" y la habilitación de una línea externa",Habilitacion de linea sanitaria externa ,,,Servicio,1,4500,4500,27400,4384,31784,"Pago: 80% de anticipo para iniciar, 20% restante al entregar los trabajos.
Horario: Trabajos nocturnos entre 10:00 p.m. y 6:00 a.m.
Duración: 4 días de ejecución.
Incluye: Todos los materiales y mano de obra necesarios."
COT-COPHI-133,,22/01/2026,22/01/2026,CLI-GENERICO, Almozero Lomas de Angelópolis,,"Blvd. Interamericano no. 104,Lomas de Angelópolis Puebla, 72830",Lic. Carlos Elias Bagatella,2223241072,"Succión y limpieza de trampa de grasas, con transporte de residuos y cadema de custodia.
Control de consumos con medidor interno, apoyo en gestión de contaminantes: calendarización de análisis cuando se requiera, asesoría en muestreos, diagnóstico y tarificación de la parte proporcional de excedentes contaminantes.",Limpieza de trampa de grasas,trampa de grasas de 50 a 100 lts. de capacidad,,pza,1,1150,1150,1810,289.6,2099.6,"El pago se cobra de manera mensual, a través de transferencia electrónica; sería más IVA o lo acordado con el cliente."
COT-COPHI-133,,22/01/2026,22/01/2026,CLI-GENERICO, Almozero Lomas de Angelópolis,,"Blvd. Interamericano no. 104,Lomas de Angelópolis Puebla, 72830",Lic. Carlos Elias Bagatella,2223241072,"Succión y limpieza de trampa de grasas, con transporte de residuos y cadema de custodia.
Control de consumos con medidor interno, apoyo en gestión de contaminantes: calendarización de análisis cuando se requiera, asesoría en muestreos, diagnóstico y tarificación de la parte proporcional de excedentes contaminantes.",Gestión interna de consumos y contanminantes ,"Control de consumos con medidor interno , apoyo en gestión y pago de contaminantes a la plaza.",,Servicio,1,660,660,1810,289.6,2099.6,"El pago se cobra de manera mensual, a través de transferencia electrónica; sería más IVA o lo acordado con el cliente."
COT-COPHI-134,,22/01/2026,22/01/2026,CLI-GENERICO,Almozero Lomas de Angelópolis,,"Blvd. Interamericano no. 104,Lomas de Angelópolis Puebla, 72830",Lic. Carlos Elias Bagatella,2223241072,"medidor de agua , 3/4 de pulgada, clase C","Medidor de agua 3/4"" para consumo interno.",medidor clase C,,pza,1,1120.69,1120.69,1120.69,179.31,1300,"Pago anticipado , no incluye instalación del medidor. De requerirse una adecuación  especial, tiene un costo aparte. Se requiere visita para definirlo. "
COT-COPHI-135,,22/01/2026,22/01/2026,CLI-GENERICO,Plaza El Mirador ,,"31 oriente 1606, Colonia El Mirador",Sr. Francisco Javier Alonso Morales ,2216776,Suministro de medidor de 3/4 de pulgada,"Medidor de agua 3/4""",,,,1,2543,2543,2543,406.88,2949.88,El pago se realizará 50% anticipo y 50% contra entrega. Precios más IVA. Validez de la oferta: 15 días.
COT-COPHI-132,,20/01/2026,20/01/2026,CLI-GENERICO,kfc Capu,Operadora Kfc ,,,,succion de fosa de 30 metros cubicos y limpieza manual de lodos ,succion fosa 10 m3,succion fosa 10 m3,,servicio,3,8000,24000,38000,6080,44080,"El pago se realizará 80% anticipo y 20% contra entrega. Precios más IVA. Validez de la oferta: 15 días.
EL PAGO SE SOLICITA A LA CUENTA BBVA PYME A NOMBRE DE ADRIANA MEDINA CASTRO.
Cuenta: 0484339932
 Clabe: 012650004843399325"
COT-COPHI-132,,20/01/2026,20/01/2026,CLI-GENERICO,kfc Capu,Operadora Kfc ,,,,succion de fosa de 30 metros cubicos y limpieza manual de lodos ,limpieza manual de extraccion de lodos y materia petreo,limpieza manual de extraccion de lodos y materia petreo,,sercicio,1,14000,14000,38000,6080,44080,"El pago se realizará 80% anticipo y 20% contra entrega. Precios más IVA. Validez de la oferta: 15 días.
EL PAGO SE SOLICITA A LA CUENTA BBVA PYME A NOMBRE DE ADRIANA MEDINA CASTRO.
Cuenta: 0484339932
 Clabe: 012650004843399325"
COT-COPHI-136,COMPONENTES SISTEMA DE CAPTACION DE AGUA PLUVIAL,03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,"Malla Malla filtrante de alambre tejido de acero, malla de 30 x 60 cm",,,rollo,1,1016.83,1016.83,19656.93,3145.11,22802.04,
COT-COPHI-136,COMPONENTES SISTEMA DE CAPTACION DE AGUA PLUVIAL,03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,Tlaloque IU200,,,pieza,3,3800.00,11400.00,19656.93,3145.11,22802.04,
COT-COPHI-136,COMPONENTES SISTEMA DE CAPTACION DE AGUA PLUVIAL,03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,Dispensador de Cloro Flotante,,,pieza,1,307.00,307.00,19656.93,3145.11,22802.04,
COT-COPHI-136,COMPONENTES SISTEMA DE CAPTACION DE AGUA PLUVIAL,03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,Filtro de carbón activado 09X48,,,pieza,1,6933.10,6933.10,19656.93,3145.11,22802.04,
COT-COPHI-137,"Medidor 3/4""",03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,"Medidor 3/4""",,,Pieza,1,1200,1200.00,3000.00,480.00,3480.00,
COT-COPHI-137,"Medidor 3/4""",03/02/2026,03/02/2026,CLI-GENERICO,KHEIRO SA DE CV,KHEIRO SA DE CV,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",,,,Instalación,,,,1,1800,1800.00,3000.00,480.00,3480.00,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,TUBERIA DE PVC HIDRAULICA EN CEDULA 40 DE 25MM,,,ML,54.0,30.0,1620.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"CODO DE 90° X 1"" DE PVC HIDRAULICO EN CEDULA 40",,,PZ,22.0,15.0,330.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"CONECTOR MACHO DE 3/4"" DE PVC HIDRAULICO EN CEDULA 40",,,PZ,4.0,13.0,52.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"CONECTOR MACHO DE 1"" DE PVC HIDRAULICO EN CEDULA 40",,,PZ,4.0,15.0,60.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"REDUCCION BUSHING DE 1"" X 3/4"" DE PVC HIDRAULICO CEDULA 40",,,PZ,3.0,13.0,39.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"TUBERIA TIPO TUBOPLUS 1""",,,M,4.0,45.0,180.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"PIJA AUTOTALADRANTE 1/4"" X 1/2""",,,PZ,50.0,5.5,275.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"ABRAZADERA OMEGA DE 1"" DE GALVANIZADO",,,PZ,12.0,12.0,144.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,TORNILLO DE 1/4X21/2,,,PZ,50.0,5.0,250.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,LIMPIADOR DE PVC DE 450 ML,,,PZ,3.0,46.0,138.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,PEGAMENTO DE PVC DE 450 ML,,,PZ,2.0,145.0,290.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,TAQUETE DE 1/4 DE PLASTICO,,,PZ,50.0,2.6,130.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"TUBERIA TIPO TUBOPLUS 3/4""",,,M,4.0,45.0,180.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"TAPON 1"" TUBOPLUS",,,PZ,2.0,16.0,32.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"TAPON 3/4"" TUBOPLUS",,,PZ,4.0,13.0,52.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"CONECTOR HEMBRA 1"" TUBOPLUS",,,PZ,2.0,63.0,126.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"CONECTOR HEMBRA 3/4"" TUBOPLUS",,,PZ,6.0,61.0,366.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"COPLE 3/4"" TUBOPLUS",,,PZ,6.0,22.76,136.56,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"COPLE 1"" DE PVC HIDRAULICO CED 40",,,PZ,10.0,10.0,100.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"REDUCCION BUSHING DE 3/4"" X 1/2"" DE PVC HIDRAULICO",,,PZ,2.0,29.0,58.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"VALVULA DE ESFERA DE BRONCE DE 1""",,,PZ,1.0,220.0,220.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,PIEDRA NATURAL 20 X 10 CM,,,M2,1.0,1350.0,1350.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,PEGAAZULEJO,,,BULTO,1.0,425.0,425.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,BOQUILLA SIN ARENA,,,BULTO,1.0,199.0,199.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,PINTURA VINILICA MATE DEL COLOR,,,GALON,1.0,890.0,890.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,TABLAROCA,,,HOJA,1.0,650.0,650.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,REDIMIX,,,CAJA,1.0,499.0,499.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,MALLA PARA TABLAROCA,,,ROLLO,1.0,365.0,365.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,"PIJA PARA TABLAROCA DE 1/2""",,,BOLSA,1.0,287.0,287.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,ACARREO ESCOBRO,,,VIAJE,1.0,700.0,700.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,ANDAMIO,,,CUERPO,2.0,1000.0,2000.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,ROTOMARTILLO 10 KG,,,PZ,1.0,500.0,500.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,Reductor De Presion 3/4'' Caleffi Preregulable 1 A 6 Bar,,,PZ,1,4000,4000.00,29443.56,4710.97,34154.53,
COT-COPHI-127,LINEA DE AGUA POTABLE,08/01/2026,08/01/2026,CLI-GENERICO,Harbors Marsala,xxxxxxxxxxxx,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",,,,Mano de Obra,"INSTALACION DE TUBERIA DE PVC HIDRAULICO DE 1"" AEREA Y PASO EN LOSA DE 60 CM DE ESPESOR .   CONEXION DE TUBERIA DE DE 1"" DE PVC HIDRAULICO A CONEXIÓN DE MEDIDOR EN TUBOPLUS DE 1/4"" DEMOLICIÒN DE PIEDRA Y RECUPERACIÒN REPOSICIÒN DE MURO DE TABLAROCA",,,1,12800,12800.00,29443.56,4710.97,34154.53,
